Query R101: AP=0.6075, P@10=0.5000, DCG@10=3.0472
Query R102: AP=0.7264, P@10=0.6000, DCG@10=3.4519
Query R103: AP=0.4142, P@10=0.6000, DCG@10=2.9663
Query R104: AP=0.7991, P@10=0.9000, DCG@10=4.9535
Query R105: AP=0.5878, P@10=0.6000, DCG@10=2.9370
Query R106: AP=0.4673, P@10=0.2000, DCG@10=1.3869
Query R107: AP=0.3000, P@10=0.2000, DCG@10=1.3869
Query R108: AP=0.1692, P@10=0.1000, DCG@10=0.5000
Query R109: AP=0.6056, P@10=0.6000, DCG@10=3.5879
Query R110: AP=0.2058, P@10=0.2000, DCG@10=0.6717
Query R111: AP=1.0000, P@10=0.3000, DCG@10=2.6309
Query R112: AP=0.4641, P@10=0.3000, DCG@10=2.0616
Query R113: AP=0.6660, P@10=0.7000, DCG@10=3.9663
Query R114: AP=0.8711, P@10=0.5000, DCG@10=3.3771
Query R115: AP=0.5143, P@10=0.2000, DCG@10=1.4307
Query R116: AP=0.3401, P@10=0.3000, DCG@10=1.6717
Query R117: AP=0.3889, P@10=0.3000, DCG@10=1.4464
Query R118: AP=0.1364, P@10=0.1000, DCG@10=0.3333
Query R119: AP=0.4208, P@10=0.1000, DCG@10=1.0000
Query R120: AP=0.4183, P@10=0.4000, DCG@10=2.3949
Query R121: AP=0.5254, P@10=0.5000, DCG@10=3.4464
Query R122: AP=0.4664, P@10=0.4000, DCG@10=1.9498
Query R123: AP=0.4658, P@10=0.1000, DCG@10=1.0000
Query R124: AP=0.4694, P@10=0.4000, DCG@10=2.4643
Query R125: AP=0.5193, P@10=0.5000, DCG@10=2.5795
Query R126: AP=0.7370, P@10=0.6000, DCG@10=3.6781
Query R127: AP=0.2434, P@10=0.2000, DCG@10=0.7317
Query R128: AP=0.1305, P@10=0.1000, DCG@10=0.3869
Query R129: AP=0.4785, P@10=0.7000, DCG@10=3.5114
Query R130: AP=0.4111, P@10=0.3000, DCG@10=1.4485
Query R131: AP=0.1169, P@10=0.0000, DCG@10=0.0000
Query R132: AP=0.2363, P@10=0.2000, DCG@10=1.5000
Query R133: AP=0.3465, P@10=0.4000, DCG@10=1.6359
Query R134: AP=0.2108, P@10=0.2000, DCG@10=0.8333
Query R135: AP=0.8056, P@10=0.8000, DCG@10=4.5650
Query R136: AP=0.2199, P@10=0.1000, DCG@10=0.6309
Query R137: AP=0.4583, P@10=0.3000, DCG@10=1.8333
Query R138: AP=0.5787, P@10=0.3000, DCG@10=2.6309
Query R139: AP=0.6270, P@10=0.2000, DCG@10=1.6309
Query R140: AP=0.5183, P@10=0.3000, DCG@10=2.5000
Query R141: AP=0.6026, P@10=0.7000, DCG@10=3.5228
Query R142: AP=0.2403, P@10=0.2000, DCG@10=0.9643
Query R143: AP=0.0914, P@10=0.0000, DCG@10=0.0000
Query R144: AP=0.2746, P@10=0.3000, DCG@10=1.2653
Query R145: AP=0.2462, P@10=0.1000, DCG@10=1.0000
Query R146: AP=0.3163, P@10=0.1000, DCG@10=0.4307
Query R147: AP=0.2722, P@10=0.3000, DCG@10=1.2474
Query R148: AP=0.3297, P@10=0.1000, DCG@10=0.3010
Query R149: AP=0.1898, P@10=0.0000, DCG@10=0.0000
Query R150: AP=0.3905, P@10=0.4000, DCG@10=1.7188

--- Overall Evaluation Results (B_Model2) ---
Mean Average Precision (MAP): 0.4324
Average Precision@10 (P@10): 0.3300
Average Discounted Cumulative Gain@10 (DCG@10): 1.8922
